Link,Title,Year,Rating
https://letterboxd.com/film/parasite-2019/,Parasite,2019,4.57
https://letterboxd.com/film/everything-everywhere-all-at-once/,Everything Everywhere All at Once,2022,4.34
https://letterboxd.com/film/fight-club/,Fight Club,1999,4.27
https://letterboxd.com/film/joker-2019/,Joker,2019,3.82
https://letterboxd.com/film/knives-out-2019/,Knives Out,2019,4.01
https://letterboxd.com/film/spider-man-into-the-spider-verse/,Spider-Man: Into the Spider-Verse,2018,4.43
https://letterboxd.com/film/the-batman/,The Batman,2022,4.00
https://letterboxd.com/film/pulp-fiction/,Pulp Fiction,1994,4.28
https://letterboxd.com/film/interstellar/,Interstellar,2014,4.28
https://letterboxd.com/film/midsommar/,Midsommar,2019,3.78
https://letterboxd.com/film/get-out-2017/,Get Out,2017,4.16
https://letterboxd.com/film/whiplash-2014/,Whiplash,2014,4.43
https://letterboxd.com/film/inception/,Inception,2010,4.18
https://letterboxd.com/film/the-dark-knight/,The Dark Knight,2008,4.45
https://letterboxd.com/film/la-la-land/,La La Land,2016,4.01
https://letterboxd.com/film/spider-man-no-way-home/,Spider-Man: No Way Home,2021,3.88
https://letterboxd.com/film/the-grand-budapest-hotel/,The Grand Budapest Hotel,2014,4.25
https://letterboxd.com/film/the-menu-2022/,The Menu,2022,3.56
https://letterboxd.com/film/lady-bird/,Lady Bird,2017,3.84
https://letterboxd.com/film/american-psycho/,American Psycho,2000,3.88
https://letterboxd.com/film/the-wolf-of-wall-street/,The Wolf of Wall Street,2013,4.00
https://letterboxd.com/film/the-truman-show/,The Truman Show,1998,4.19
https://letterboxd.com/film/dune-2021/,Dune,2021,3.91
https://letterboxd.com/film/once-upon-a-time-in-hollywood/,Once Upon a Time… in Hollywood,2019,3.76
https://letterboxd.com/film/spirited-away/,Spirited Away,2001,4.45
https://letterboxd.com/film/the-shining/,The Shining,1980,4.25
https://letterboxd.com/film/gone-girl/,Gone Girl,2014,4.06
https://letterboxd.com/film/glass-onion/,Glass Onion,2022,3.54
https://letterboxd.com/film/avengers-infinity-war/,Avengers: Infinity War,2018,3.94
https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,Eternal Sunshine of the Spotless Mind,2004,4.24
https://letterboxd.com/film/inglourious-basterds/,Inglourious Basterds,2009,4.33
https://letterboxd.com/film/avengers-endgame/,Avengers: Endgame,2019,3.85
https://letterboxd.com/film/nope/,Nope,2022,3.76
https://letterboxd.com/film/spider-man-across-the-spider-verse/,Spider-Man: Across the Spider-Verse,2023,4.53
https://letterboxd.com/film/baby-driver/,Baby Driver,2017,3.73
https://letterboxd.com/film/black-panther/,Black Panther,2018,3.63
https://letterboxd.com/film/her/,Her,2013,4.04
https://letterboxd.com/film/forrest-gump/,Forrest Gump,1994,4.11
https://letterboxd.com/film/se7en/,Se7en,1995,4.31
https://letterboxd.com/film/django-unchained/,Django Unchained,2012,4.24
https://letterboxd.com/film/the-social-network/,The Social Network,2010,3.95
https://letterboxd.com/film/black-swan/,Black Swan,2010,4.13
https://letterboxd.com/film/hereditary/,Hereditary,2018,3.98
https://letterboxd.com/film/the-silence-of-the-lambs/,The Silence of the Lambs,1991,4.33
https://letterboxd.com/film/the-godfather/,The Godfather,1972,4.56
https://letterboxd.com/film/little-women-2019/,Little Women,2019,4.11
https://letterboxd.com/film/barbie/,Barbie,2023,4.17
https://letterboxd.com/film/guardians-of-the-galaxy/,Guardians of the Galaxy,2014,3.76
https://letterboxd.com/film/jojo-rabbit/,Jojo Rabbit,2019,4.03
https://letterboxd.com/film/kill-bill-vol-1/,Kill Bill: Vol. 1,2003,4.17
https://letterboxd.com/film/the-matrix/,The Matrix,1999,4.15
https://letterboxd.com/film/taxi-driver/,Taxi Driver,1976,4.19
https://letterboxd.com/film/call-me-by-your-name/,Call Me by Your Name,2017,3.88
https://letterboxd.com/film/scott-pilgrim-vs-the-world/,Scott Pilgrim vs. the World,2010,3.84
https://letterboxd.com/film/shutter-island/,Shutter Island,2010,4.07
https://letterboxd.com/film/ratatouille/,Ratatouille,2007,4.17
https://letterboxd.com/film/arrival-2016/,Arrival,2016,4.11
https://letterboxd.com/film/dont-look-up-2021/,Don't Look Up,2021,3.00
https://letterboxd.com/film/blade-runner-2049/,Blade Runner 2049,2017,4.14
https://letterboxd.com/film/the-lighthouse-2019/,The Lighthouse,2019,4.05
https://letterboxd.com/film/spider-man-homecoming/,Spider-Man: Homecoming,2017,3.47
https://letterboxd.com/film/thor-ragnarok/,Thor: Ragnarok,2017,3.76
https://letterboxd.com/film/avatar-the-way-of-water/,Avatar: The Way of Water,2022,3.64
https://letterboxd.com/film/fantastic-mr-fox/,Fantastic Mr. Fox,2009,4.25
https://letterboxd.com/film/coco-2017/,Coco,2017,4.12
https://letterboxd.com/film/the-shawshank-redemption/,The Shawshank Redemption,1994,4.53
https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,The Lord of the Rings: The Fellowship of the Ring,2001,4.35
https://letterboxd.com/film/us-2019/,Us,2019,3.65
https://letterboxd.com/film/doctor-strange-in-the-multiverse-of-madness/,Doctor Strange in the Multiverse of Madness,2022,3.00
https://letterboxd.com/film/star-wars/,Star Wars,1977,4.17
https://letterboxd.com/film/soul-2020/,Soul,2020,3.95
https://letterboxd.com/film/top-gun-maverick/,Top Gun: Maverick,2022,4.01
https://letterboxd.com/film/1917/,1917,2019,4.10
https://letterboxd.com/film/drive-2011/,Drive,2011,3.96
https://letterboxd.com/film/the-perks-of-being-a-wallflower/,The Perks of Being a Wallflower,2012,3.89
https://letterboxd.com/film/uncut-gems/,Uncut Gems,2019,3.95
https://letterboxd.com/film/deadpool/,Deadpool,2016,3.64
https://letterboxd.com/film/mad-max-fury-road/,Mad Max: Fury Road,2015,4.17
